,Artist,Birth Date,Birth Place,Death Date,Death Place,Nationality,Official Website,Education,Notable Work,Style,Movement,Start Date,End Date,Lifespan
0,Aaron Douglas,1899-05-26,Topeka,1979-02-02,Nashville,United States of America,,"University of Kansas, University of Nebraska–Lincoln, Topeka High School",,"portrait, still life, self-portrait, history painting, genre art, cityscape, allegory, figure, religious art",Harlem Renaissance,1920-01-01,1939-12-31,79.68788501026694
1,Aaron Ibn Pori Pitts,1941-01-01,Detroit,2022-08-13,,,,"Wayne State University, Los Angeles City College",,,Unknown,,,81.6125941136208
2,Adah Isaacs Menken,1835-06-15,New Orleans,1868-08-10,Paris,United States of America,,,,,Unknown,,,33.15537303216975
3,Adam Alli,,,,,,,,,,Unknown,,,
4,Adolphus Ealey,1941-02-22,Atlanta,1992-11-11,"Washington, D.C.",United States of America,,"Académie de la Grande Chaumière, University of Wisconsin–Madison, Howard University",,,Unknown,,,51.71800136892539
5,Adrienne W. Hoard,1949-01-01,,,,,,,,,Unknown,,,
6,Ahmed Shibrain,1931-01-01,Berber,2017-01-01,Khartoum,Sudan,,,,,Unknown,,,86.00136892539356
7,Ahmed Shibrain,1931-01-01,Berber,2017-03-25,Khartoum,Sudan,,,,,Unknown,,,86.22861054072553
8,Aina Onabolu,1882-09-13,Ijebu Ode,1963-01-01,Lagos,Nigeria,,Académie Julian,,portrait,Unknown,,,80.2984257357974
9,Akili Ron Anderson,1946-02-19,"Washington, D.C.",,,United States of America,http://www.akilironanderson.com/,Howard University,,,Unknown,,,
10,Albert Alexander Smith,1896-09-17,New York City,1940-01-01,Paris,United States of America,,"National Academy of Design, DeWitt Clinton High School, Ethical Culture Fieldston School",,,Unknown,,,43.285420944558524
11,Albert Shaw,,Marshall,,,,,"University of North Texas, University of Texas at Arlington",,"public art, abstract painting",Unknown,,,
12,Alice Catlett,1915-01-01,,,,,,,,,Unknown,,,
13,Alison Saar,1956-02-05,Los Angeles,,,Haiti,,"Scripps College, Otis College of Art and Design",copacetic / Hear the Lone Whistle Moan,figurative art,Contemporary Art,1970-01-01,,
14,Alison Saar,1956-02-05,Los Angeles,,,United States of America,,"Scripps College, Otis College of Art and Design",copacetic / Hear the Lone Whistle Moan,figurative art,Contemporary Art,1970-01-01,,
15,Allan Crite,1910-03-20,North Plainfield,2007-09-06,Boston,United States of America,,"Harvard University, School of the Museum of Fine Arts, Harvard Extension School, Boston English High School",,,Unknown,,,97.46475017111567
16,Allan Randall Freelon,1895-09-02,Philadelphia,1960-01-01,Telford,United States of America,,"University of Pennsylvania, Tyler School of Art, The University of the Arts",,,New Negro Movement,1920-01-01,1939-12-31,64.32854209445586
17,Allan Randall Freelon,1895-09-02,Philadelphia,1960-08-06,Telford,United States of America,,"University of Pennsylvania, Tyler School of Art, The University of the Arts",,,New Negro Movement,1920-01-01,1939-12-31,64.92539356605064
18,Allen Stringfellow,1923-01-01,Champaign,2005-01-01,Chicago,,,Art Institute of Wisconsin,,collage,Unknown,,,82.00136892539356
19,Allen Stringfellow,1923-07-09,Champaign,2005-01-01,Chicago,,,Art Institute of Wisconsin,,collage,Unknown,,,81.4839151266256
20,Alma Pennell Gunter,1909-06-11,Palestine,1983-05-14,,United States of America,,Prairie View A&M University,,,Unknown,,,73.92197125256673
21,Alma Thomas,1891-09-22,Columbus,1978-02-24,"Washington, D.C.",United States of America,,"Columbia University, Teachers College, Howard University, Normal School for Colored Girls",,"abstract art, still life",Color Field,1940-01-01,1969-12-31,86.42299794661191
21,Alma Thomas,1891-09-22,Columbus,1978-02-24,"Washington, D.C.",United States of America,,"Columbia University, Teachers College, Howard University, Normal School for Colored Girls",,"abstract art, still life",Washington Color School,1950-01-01,1969-12-31,86.42299794661191
21,Alma Thomas,1891-09-22,Columbus,1978-02-24,"Washington, D.C.",United States of America,,"Columbia University, Teachers College, Howard University, Normal School for Colored Girls",,"abstract art, still life",Abstract Expressionism,1940-01-01,1959-12-31,86.42299794661191
22,Alonzo Adams,1961-01-01,Harlem,,,United States of America,https://www.alonzoadams.com/,"University of Pennsylvania, Rutgers University",,"landscape painting, figurative art",Unknown,,,
23,Alvin D. Loving,1935-09-19,Detroit,2005-06-21,New York City,United States of America,,University of Michigan,"Brooklyn, New Morning",,Unknown,,,69.75496235455168
24,Alvin Hollingsworth,1928-02-25,Harlem,2000-07-14,Westchester County,United States of America,,High School of Music & Art,,,Unknown,,,72.3832991101985
25,Alvin Smith,1933-11-27,Gary,,,,,Kansas City Art Institute,,,Unknown,,,
26,Alyne Harris,1942-01-01,Gainesville,,,,,,,,Unknown,,,
27,Amadou Sow,1951-11-17,,,,Senegal,,,,,Unknown,,,
28,Amy Sherald,1973-08-30,Columbus,,,United States of America,,"Maryland Institute College of Art, Clark Atlanta University",First Lady Michelle Obama,portrait painting,Contemporary Art,1970-01-01,,
29,Angela L. Perkins,1948-01-01,,,,,,,,,Unknown,,,
30,Anna Arnold,1960-01-01,South Euclid,,,United States of America,http://annaarnoldsuniverse.blogspot.com/,Cleveland Institute of Art,,,Unknown,,,
31,Anna Arnold,1961-01-01,South Euclid,,,United States of America,http://annaarnoldsuniverse.blogspot.com/,Cleveland Institute of Art,,,Unknown,,,
32,Annette Fortt,1944-01-01,Memphis,,,United States of America,https://annettefortt.com/,"Pratt Institute, University of Memphis",,,Unknown,,,
33,Annette Lawrence,1965-01-28,Rockville Centre,,,United States of America,https://www.annettelawrence.net/,"Maryland Institute College of Art, Hartford Art School",,,Unknown,,,
34,Anthony C. Fletcher,,Wilmington,,,,,"University of Delaware, Florida A&M University, Art Institute of Philadelphia",,,Unknown,,,
35,Archibald Motley,1891-10-07,New Orleans,1981-01-16,Chicago,United States of America,,"Englewood Technical Prep Academy, School of the Art Institute of Chicago",,,Harlem Renaissance,1920-01-01,1939-12-31,89.27583846680356
36,Arthur Carraway,1927-01-01,Fort Worth,1994-01-01,,,,"San Francisco Art Institute, Academy of Art University",,,Unknown,,,67.00068446269678
37,Arthur Monroe,1935-01-01,New York City,2019-01-01,,,http://www.arthurmonroe.com/,"University of California, Berkeley, City College of New York, Pratt Institute, Brooklyn Museum Art School",,abstract painting,Unknown,,,84.0
38,Artis Lane,1927-01-01,North Buxton,,,Canada,http://www.artislane.com,OCAD University,,,Unknown,,,
39,Ashley Bryan,1923-07-13,Harlem,2022-02-04,Sugar Land,United States of America,,"Columbia University, Cooper Union",,,Unknown,,,98.56536618754278
40,Aubrey Brown,,"Washington, D.C.",,,,,"Corcoran College of Art and Design, School of the Museum of Fine Arts",,,Unknown,,,
41,Aubrey Williams,1926-05-08,Georgetown,1990-04-17,London,United Kingdom,,Saint Martin's School of Art,,,Unknown,,,63.94250513347023
42,Avel de Knight,1923-01-01,New York City,1955-01-01,,United States of America,,,,,Unknown,,,32.0
43,Barbara Bullock,1938-01-01,Philadelphia,,,,,"Samuel S. Fleisher Art Memorial, Hussian College - School of Art",,,Unknown,,,
44,Barbara Chase-Riboud,1939-06-26,Philadelphia,,,France,,"American Academy in Rome, The University of the Arts, Yale School of Architecture, Tyler School of Art, Philadelphia High School for Girls",,"abstract art, fiction, poetry",Black Arts Movement,1960-01-01,1979-12-31,
45,Barbara Chase-Riboud,1939-06-26,Philadelphia,,,United States of America,,"American Academy in Rome, The University of the Arts, Yale School of Architecture, Tyler School of Art, Philadelphia High School for Girls",,"abstract art, fiction, poetry",Black Arts Movement,1960-01-01,1979-12-31,
46,Barbara Johnson Zuber,1926-01-01,Philadelphia,2019-08-29,Guilderland,United States of America,,"Yale University, New York University, Art Students League of New York, Little Red School House and Elisabeth Irwin High School, Walden School",,,Unknown,,,93.65639972621491
47,Barbara Jones-Hogu,1938-01-01,Chicago,2017-11-14,Chicago Heights,United States of America,,"Illinois Institute of Art – Chicago, School of the Art Institute of Chicago, Howard University",,,Black Aesthetic,1960-01-01,1979-12-31,79.86858316221766
48,Barbara Tyson Mosley,1950-01-01,Harrisburg,,,,,"George Washington University, Georgetown University, University of the District of Columbia",,,Unknown,,,
49,Bariq Cobbs,,,,,,https://bariqcobbs.wixsite.com/mysite-1,The University of the Arts,,,Unknown,,,
50,Barkley L. Hendricks,1945-04-16,Nicetown-Tioga,2017-04-18,New London,United States of America,,"Yale University, Pennsylvania Academy of the Fine Arts, Simon Gratz High School",,portrait,Contemporary Art,1970-01-01,,72.00547570157427
51,Barkley L. Hendricks,1945-04-16,Philadelphia,2017-04-18,New London,United States of America,,"Yale University, Pennsylvania Academy of the Fine Arts, Simon Gratz High School",,portrait,Contemporary Art,1970-01-01,,72.00547570157427
52,Barrington Watson,1931-01-09,Lucea,2016-01-26,Kingston,Jamaica,,,,,Unknown,,,85.04585900068446
53,Beauford Delaney,1901-12-30,Knoxville,1979-03-25,14th arrondissement of Paris,United States of America,,"Harvard University, Austin-East High School",,,Harlem Renaissance,1920-01-01,1939-12-31,77.23203285420945
54,Beauford Delaney,1901-12-30,Knoxville,1979-03-26,14th arrondissement of Paris,United States of America,,"Harvard University, Austin-East High School",,,Harlem Renaissance,1920-01-01,1939-12-31,77.23477070499658
55,Beauford Delaney,1901-12-31,Knoxville,1979-03-25,14th arrondissement of Paris,United States of America,,"Harvard University, Austin-East High School",,,Harlem Renaissance,1920-01-01,1939-12-31,77.22929500342231
56,Beauford Delaney,1901-12-31,Knoxville,1979-03-26,14th arrondissement of Paris,United States of America,,"Harvard University, Austin-East High School",,,Harlem Renaissance,1920-01-01,1939-12-31,77.23203285420945
57,Ben Enwonwu,1921-07-14,Onitsha,1994-02-05,Ikoyi,Nigeria,,"Goldsmiths, University of London, Slade School of Fine Art, Government College Umuahia",,,Unknown,,,72.56399726214921
58,Ben F. Jones,1941-05-26,Paterson,,,,https://www.benfjones.net/,"New York University, Pratt Institute, William Paterson University",,,Unknown,,,
59,Benjamin Britt,1923-05-04,Windfall,1996-06-26,,,,"Art Students League of New York, Murrell Dobbins Vocational School, Hussian College - School of Art, Philadelphia College of Art",,,Cubism,1907-01-01,1914-12-31,73.14715947980835
59,Benjamin Britt,1923-05-04,Windfall,1996-06-26,,,,"Art Students League of New York, Murrell Dobbins Vocational School, Hussian College - School of Art, Philadelphia College of Art",,,Figurative Art,1900-01-01,,73.14715947980835
59,Benjamin Britt,1923-05-04,Windfall,1996-06-26,,,,"Art Students League of New York, Murrell Dobbins Vocational School, Hussian College - School of Art, Philadelphia College of Art",,,Minimalism,1960-01-01,1979-12-31,73.14715947980835
59,Benjamin Britt,1923-05-04,Windfall,1996-06-26,,,,"Art Students League of New York, Murrell Dobbins Vocational School, Hussian College - School of Art, Philadelphia College of Art",,,Surrealism,1917-01-01,1959-12-31,73.14715947980835
60,Benjamin Wigfall,1930-11-17,Richmond,2017-02-09,New Paltz,United States of America,https://richmond.com/entertainment/art/benjamin-leroy-wigfall-one-of-the-first-african-american-artists-to-have-his-work-shown/article_650a51cb-8ee2-51dd-94c2-aa751538463d.html,"Yale University, Hampton University",,painting,Unknown,,,86.23134839151267
61,Benny Andrews,1930-11-13,Madison,2006-11-10,New York City,United States of America,https://www.bennyandrews.com/,"School of the Art Institute of Chicago, Fort Valley State University","Portrait of the Black Madonna, Rehearsal (Music Series)",,Expressionism,1905-01-01,1929-12-31,75.9917864476386
62,Benny Andrews,1930-11-13,Plainview,2006-11-10,New York City,United States of America,https://www.bennyandrews.com/,"School of the Art Institute of Chicago, Fort Valley State University","Portrait of the Black Madonna, Rehearsal (Music Series)",,Expressionism,1905-01-01,1929-12-31,75.9917864476386
63,Bernard Brooks,1939-01-01,Alexandria,,,United States of America,,"University of Maryland, Corcoran College of Art and Design, Howard University, Philadelphia College of Art",,,Unknown,,,
64,Bernie Casey,1939-06-08,Wyco,2017-09-19,Los Angeles,United States of America,,"Bowling Green State University, East High School",,,Unknown,,,78.28336755646818
65,Bertrand Phillips,1938-01-01,,,,,,,,,Unknown,,,
66,Bessie Nickens,1906-01-01,,2004-01-01,,United States of America,,,,,Unknown,,,97.99863107460644
67,Bettie Bendolph Seltzer,1939-01-01,,2017-01-01,,United States of America,,,,,Unknown,,,78.00136892539356
68,Betty Murchison,,Chicago,,,,,Trinity Washington University,,"abstract art, figurative art",Unknown,,,
69,Betye Saar,1926-07-30,Los Angeles,,,United States of America,http://www.betyesaar.net/,"University of California, Los Angeles, California State University, Long Beach, Pasadena City College",,figurative art,Black Arts Movement,1960-01-01,1979-12-31,
70,Bill Traylor,1854-04-01,Benton,1949-10-23,Montgomery,United States of America,,,,,Outsider Art,1900-01-01,,95.55920602327173
71,Bill Traylor,1854-04-01,Pleasant Hill,1949-10-23,Montgomery,United States of America,,,,,Outsider Art,1900-01-01,,95.55920602327173
72,Bob Dilworth,1951-01-01,Virginia,,,,,"Rhode Island School of Design, School of the Art Institute of Chicago",Reaching,,Unknown,,,
73,Bob Ragland,,Cleveland,,,,,Rocky Mountain College of Art and Design,,,Unknown,,,
74,Bob Thompson,1937-06-26,Louisville,1966-05-30,Rome,United States of America,,"Boston University, Central High School, University of Louisville",Ornette,figurative art,Unknown,,,28.92539356605065
75,Brian Stelfreeze,2000-01-01,,,,United States of America,,,,,Unknown,,,
76,Bunyan Nathaniel Knight,1942-01-01,,,,,,Howard University,,,Unknown,,,
77,Cal Massey,1926-01-01,Philadelphia,2019-06-10,Evesham Township,United States of America,,Hussian College - School of Art,,,Unknown,,,93.43737166324435
78,Cardell Evans,1947-01-01,Ocala,,,United States of America,,,,,Unknown,,,
79,Carl Abrahams,1911-05-14,,2005-04-10,,Jamaica,,,,,Unknown,,,93.90828199863107
80,Carl Dixon,1960-09-29,Jackson,,,United States of America,,,,,Unknown,,,
81,Carla Carr,1971-01-01,Joliet,,,United States of America,,"Creighton University, Northern Illinois University, Governors State University",,,Unknown,,,
82,Carol Ann Carter,1947-01-01,Indianapolis,,,United States of America,,"University of Notre Dame, Herron School of Art and Design",,,Unknown,,,
83,Carolyn Norris,1948-04-23,Martinsburg,,,United States of America,,,,,Unknown,,,
84,Carroll Harris Simms,1924-04-29,Arkansas,2010-01-01,Texas,United States of America,,"Hampton University, University of Toledo, Toledo Museum School of Art, Cranbrook Academy of Art",,,Unknown,,,85.67556468172485
85,Carroll Sockwell,1943-01-01,Manhattan,1992-01-01,"Washington, D.C.",United States of America,,,,,Unknown,,,48.99931553730322
86,Charles A. Sessoms,,,2012-01-01,,United States of America,https://www.charlessessoms.com/,"Binghamton University, School of Visual Arts",,,Unknown,,,
87,Charles Alston,1907-11-28,Charlotte,1977-04-27,New York City,United States of America,http://www.michaelrosenfeldart.com/artists/charles-alston-1907-1977,"Columbia University, Art Students League of New York, DeWitt Clinton High School, St. Augustine's University, Teachers College",,portrait,Harlem Renaissance,1920-01-01,1939-12-31,69.41273100616016
87,Charles Alston,1907-11-28,Charlotte,1977-04-27,New York City,United States of America,http://www.michaelrosenfeldart.com/artists/charles-alston-1907-1977,"Columbia University, Art Students League of New York, DeWitt Clinton High School, St. Augustine's University, Teachers College",,portrait,Abstract Expressionism,1940-01-01,1959-12-31,69.41273100616016
88,Charles C. Dawson,1889-01-01,Brunswick,1981-01-01,New Hope,United States of America,,School of the Art Institute of Chicago,,,Unknown,,,91.99726214921287
89,Charles C. Dawson,1889-01-01,Georgia,1981-01-01,New Hope,United States of America,,School of the Art Institute of Chicago,,,Unknown,,,91.99726214921287
90,Charles E. Mitchell,,Petersburg,2005-03-01,"Washington, D.C.",,,"Corcoran College of Art and Design, Virginia State University, Maryland Institute College of Art, Elizabeth City State University",,,Unknown,,,
91,Charles Ethan Porter,1847-01-01,Hartford,1923-03-06,Connecticut,United States of America,,"École nationale supérieure des arts décoratifs, Wilbraham & Monson Academy, Rockville High School",,portrait,Unknown,,,76.17248459958932
92,Charles Gaines,1944-06-23,Charleston,,,United States of America,,"Newark Arts High School, Rochester Institute of Technology",,,Unknown,,,
93,Charles Martin,1884-06-02,Montpellier,1934-11-20,Paris,France,,,,,Unknown,,,50.46406570841889
94,Charles Searles,1937-07-11,Philadelphia,2004-11-27,New York City,United States of America,,Pennsylvania Academy of the Fine Arts,,,Unknown,,,67.38124572210815
95,Charles Sebree,1914-01-01,Madisonville,1985-01-01,"Washington, D.C.",United States of America,,,,,Unknown,,,71.00068446269678
96,Charles Washington,,The Carolinas,,,,https://www.harambeeartgalleryhtx.com/,Delaware State University,,"environmental art, mixed media, sculpture",Unknown,,,
97,Charles Wilbert White,1918-04-02,Chicago,1979-10-03,Los Angeles,United States of America,,School of the Art Institute of Chicago,,,Harlem Renaissance,1920-01-01,1939-12-31,61.503080082135526
98,Charles Wilbert White,1918-04-02,Chicago,1979-11-03,Los Angeles,United States of America,,School of the Art Institute of Chicago,,,Harlem Renaissance,1920-01-01,1939-12-31,61.58795345653662
99,Charles Williams,1942-01-01,,1999-01-01,,,,,,,Unknown,,,56.99931553730322
100,Charlie Newton,,,,,,https://artistcharlienewton.com,"Norfolk State University, Old Dominion University, University of Tennessee at Chattanooga",,,Unknown,,,
101,Charlotte Amévor,1932-09-17,,,,,,,,,Unknown,,,
102,Charlotte Riley-Webb,,Atlanta,,,,http://www.charlotterileywebb.com/,Cleveland Institute of Art,,abstract painting,Unknown,,,
103,Charlotte White Franklin,1923-04-30,,2004-01-01,,,,,,,Unknown,,,80.67351129363449
104,Chevelle Moore,,,,,,http://www.chevellemoorejones.com/,Maryland Institute College of Art,,narrative art,Unknown,,,
105,Chris Ofili,1968-10-10,Manchester,,,United Kingdom,,"Chelsea College of Art and Design, Royal College of Art, Tameside College","No Woman, No Cry",figurative art,Black Atlantic,1990-01-01,,
105,Chris Ofili,1968-10-10,Manchester,,,United Kingdom,,"Chelsea College of Art and Design, Royal College of Art, Tameside College","No Woman, No Cry",figurative art,Contemporary Art,1970-01-01,,
106,Christopher González,1943-01-01,Kingston,2008-08-02,Montego Bay,Jamaica,,California College of the Arts,,,Unknown,,,65.58521560574948
107,Chuck Johnson,1949-01-01,Memphis,,,,https://www.chuckjohnsonart.com/,University of Memphis,,,Unknown,,,
108,Chéri Samba,1956-12-30,,,,Democratic Republic of the Congo,http://www.cherisamba.net/,,,,Unknown,,,
109,Clarence Major,1936-01-01,Atlanta,,,United States of America,http://www.clarencemajor.com,,,,Unknown,,,
110,Clarence Morgan,1950-01-01,,,,United States of America,http://www.clarence-morgan.com/,,,,Unknown,,,
111,Clarence Talley,1952-01-01,Alexandria,,,,https://www.clarencetalley.com/home,"Southern University, Louisiana State University",,,Unknown,,,
112,Claude Clark,1915-11-11,Rockingham,2001-04-21,Oakland,United States of America,http://www.claudeclark.com/,"The University of the Arts, University of California, Berkeley, California State University, Sacramento, Philadelphia College of Art",,"portrait, landscape painting, still life, marine art",Black Arts Movement,1960-01-01,1979-12-31,85.44284736481862
